是否法定,地形,是否農用,特性,使用類型,面積
法定農業用地,平地範圍,農業使用,露天生產,農糧作物,"360196"
法定農業用地,平地範圍,農業使用,露天生產,養殖魚塭,"41854"
法定農業用地,平地範圍,農業使用,露天生產,畜牧使用,"9970"
法定農業用地,平地範圍,農業使用,露天生產,林業使用,"31708"
法定農業用地,平地範圍,農業使用,露天生產,休閒農場,340
法定農業用地,平地範圍,農業使用,露天生產,資源保育,"75521"
法定農業用地,平地範圍,農業使用,生產型設施,農糧作物,"8297"
法定農業用地,平地範圍,農業使用,生產型設施,養殖魚塭,41
法定農業用地,平地範圍,農業使用,管理型設施,養殖魚塭,66
法定農業用地,平地範圍,農業使用,管理型設施,休閒農場,36
法定農業用地,平地範圍,農業使用,管理型設施,農村再生及水保設施,14
法定農業用地,平地範圍,農業使用,管理型設施,農水路使用,"43848"
法定農業用地,平地範圍,非農業使用,合法,道路或道路設施（含停車場）,"6955"
法定農業用地,平地範圍,非農業使用,合法,河川或水利設施,"14793"
法定農業用地,平地範圍,非農業使用,合法,農舍,"1,001"
法定農業用地,平地範圍,非農業使用,合法,公共或公用設施,"1304"
法定農業用地,平地範圍,非農業使用,合法,其他使用,280
法定農業用地,平地範圍,非農業使用,違規,農舍,"1118"
法定農業用地,平地範圍,非農業使用,違規,住宅,"7959"
法定農業用地,平地範圍,非農業使用,違規,工廠,"13063"
法定農業用地,平地範圍,非農業使用,違規,商場或餐廳,"2871"
法定農業用地,平地範圍,非農業使用,違規,殯葬設施,"2095"
法定農業用地,平地範圍,非農業使用,違規,宗教寺廟,"1139"
法定農業用地,平地範圍,非農業使用,違規,公共或公用設施,"1475"
法定農業用地,平地範圍,非農業使用,違規,土石採取或堆置,"1635"
法定農業用地,平地範圍,非農業使用,違規,遊憩設施,928
法定農業用地,平地範圍,非農業使用,違規,其他使用,"11894"